Participant;Gender;Age;Gesture;Count;File
1;m;24;Air;10;Air202105071240
1;m;24;Alien;10;Alien202105070125
1;m;24;Axe;10;Axe202105070109
1;m;24;Bowl;10;Bowl202105070124
1;m;24;Cockroach;10;Cockroach202105070113
1;m;24;Devil;10;Devil202105071250
1;m;24;Dragon;10;Dragon202105070104
1;m;24;Dynamite;10;Dynamite202105070128
1;m;24;Fire;10;Fire202105071239
1;m;24;Gun;10;Gun202105071245
1;m;24;Lightning;10;Lightning202105070106
1;m;24;Man;10;Man202105070134
1;m;24;Monkey;10;Monkey202105070110
1;m;24;Moon;10;Moon202105070121
1;m;24;Nuke;10;Nuke202105070127
1;m;24;Paper;10;Paper202105071232
1;m;24;Rock;10;Rock202105071228
1;m;24;Scissors;10;Scissors202105071233
1;m;24;Snake;10;Snake202105070101
1;m;24;Sponge;10;Sponge202105070131
1;m;24;Sun;10;Sun202105070107
1;m;24;Tree;10;Tree202105070103
1;m;24;Water;10;Water202105071237
1;m;24;Wolf;10;Wolf202105071246
1;m;24;Woman;10;Woman202105071242
2;m;57;Air;10;Air202105150155
2;m;57;Alien;10;Alien202105150220
2;m;57;Axe;10;Axe202105150211
2;m;57;Bowl;10;Bowl202105150219
2;m;57;Cockroach;10;Cockroach202105150216
2;m;57;Devil;10;Devil202105150202
2;m;57;Dragon;10;Dragon202105150207
2;m;57;Dynamite;10;Dynamite202105150225
2;m;57;Fire;10;Fire202105150153
2;m;57;Gun;10;Gun202105150159
2;m;57;Lightning;10;Lightning202105150208
2;m;57;Man;10;Man202105150214
2;m;57;Monkey;10;Monkey202105150213
2;m;57;Moon;10;Moon202105150217
2;m;57;Nuke;10;Nuke202105150223
2;m;57;Paper;10;Paper202105150144
2;m;57;Rock;10;Rock202105150141
2;m;57;Scissors;10;Scissors202105150147
2;m;57;Snake;10;Snake202105150204
2;m;57;Sponge;10;Sponge202105150149
2;m;57;Sun;10;Sun202105150210
2;m;57;Tree;10;Tree202105150205
2;m;57;Water;10;Water202105150151
2;m;57;Wolf;10;Wolf202105150201
2;m;57;Woman;10;Woman202105150156
3;m;28;Air;10;Air202105160822
3;m;28;Alien;10;Alien202105160849
3;m;28;Axe;10;Axe202105160840
3;m;28;Bowl;10;Bowl202105160847
3;m;28;Cockroach;10;Cockroach202105160844
3;m;28;Devil;10;Devil202105160828
3;m;28;Dragon;10;Dragon202105160834
3;m;28;Dynamite;10;Dynamite202105160851
3;m;28;Fire;10;Fire202105160820
3;m;28;Gun;10;Gun202105160825
3;m;28;Lightning;10;Lightning202105160835
3;m;28;Man;10;Man202105160843
3;m;28;Monkey;10;Monkey202105160841
3;m;28;Moon;10;Moon202105160846
3;m;28;Nuke;10;Nuke202105160850
3;m;28;Paper;10;Paper202105160813
3;m;28;Rock;10;Rock202105160811
3;m;28;Scissors;10;Scissors202105160815
3;m;28;Snake;10;Snake202105160831
3;m;28;Sponge;10;Sponge202105160817
3;m;28;Sun;10;Sun202105160837
3;m;28;Tree;10;Tree202105160833
3;m;28;Water;10;Water202105160819
3;m;28;Wolf;10;Wolf202105160827
3;m;28;Woman;10;Woman202105160823
4;f;57;Air;10;Air202105180237
4;f;57;Alien;10;Alien202105180309
4;f;57;Axe;10;Axe202105180259
4;f;57;Bowl;10;Bowl202105180307
4;f;57;Cockroach;10;Cockroach202105180304
4;f;57;Devil;10;Devil202105180244
4;f;57;Dragon;10;Dragon202105180250
4;f;57;Dynamite;10;Dynamite202105180313
4;f;57;Fire;10;Fire202105180235
4;f;57;Gun;10;Gun202105180240
4;f;57;Lightning;10;Lightning202105180253
4;f;57;Man;10;Man202105180302
4;f;57;Monkey;10;Monkey202105180301
4;f;57;Moon;10;Moon202105180306
4;f;57;Nuke;10;Nuke202105180312
4;f;57;Paper;10;Paper202105180225
4;f;57;Rock;10;Rock202105180221
4;f;57;Scissors;10;Scissors202105180227
4;f;57;Snake;10;Snake202105180247
4;f;57;Sponge;10;Sponge202105180230
4;f;57;Sun;10;Sun202105180257
4;f;57;Tree;10;Tree202105180248
4;f;57;Water;10;Water202105180233
4;f;57;Wolf;10;Wolf202105180242
4;f;57;Woman;10;Woman202105180238
5;m;23;Air;10;Air202105240325
5;m;23;Alien;10;Alien202105240418
5;m;23;Axe;10;Axe202105240359
5;m;23;Bowl;10;Bowl202105240416
5;m;23;Cockroach;10;Cockroach202105240403
5;m;23;Devil;10;Devil202105240334
5;m;23;Dragon;10;Dragon202105240348
5;m;23;Dynamite;10;Dynamite202105240421
5;m;23;Fire;10;Fire202105240324
5;m;23;Gun;10;Gun202105240328
5;m;23;Lightning;10;Lightning202105240349
5;m;23;Man;10;Man202105240402
5;m;23;Monkey;10;Monkey202105240401
5;m;23;Moon;10;Moon202105240426
5;m;23;Nuke;10;Nuke202105240419
5;m;23;Paper;10;Paper202105240313
5;m;23;Rock;10;Rock202105240309
5;m;23;Scissors;10;Scissors202105240423
5;m;23;Snake;10;Snake202105240425
5;m;23;Sponge;10;Sponge202105240321
5;m;23;Sun;10;Sun202105240353
5;m;23;Tree;10;Tree202105240346
5;m;23;Water;10;Water202105240322
5;m;23;Wolf;10;Wolf202105240429
5;m;23;Woman;10;Woman202105240326
6;m;23;Air;10;Air202105260623
6;m;23;Alien;10;Alien202105260703
6;m;23;Axe;10;Axe202105260652
6;m;23;Bowl;10;Bowl202105260701
6;m;23;Cockroach;10;Cockroach202105260658
6;m;23;Devil;10;Devil202105260634
6;m;23;Dragon;10;Dragon202105260712
6;m;23;Dynamite;10;Dynamite202105260708
6;m;23;Fire;10;Fire202105260621
6;m;23;Gun;10;Gun202105260628
6;m;23;Lightning;10;Lightning202105260648
6;m;23;Man;10;Man202105260657
6;m;23;Monkey;10;Monkey202105260654
6;m;23;Moon;10;Moon202105260700
6;m;23;Nuke;10;Nuke202105260705
6;m;23;Paper;10;Paper202105260603
6;m;23;Rock;10;Rock202105260601
6;m;23;Scissors;10;Scissors202105260614
6;m;23;Snake;10;Snake202105260638
6;m;23;Sponge;10;Sponge202105260615
6;m;23;Sun;10;Sun202105260649
6;m;23;Tree;10;Tree202105260641
6;m;23;Water;10;Water202105260617
6;m;23;Wolf;10;Wolf202105260631
6;m;23;Woman;10;Woman202105260625
7;m;24;Air;10;Air202105310526
7;m;24;Alien;10;Alien202105310612
7;m;24;Axe;10;Axe202105310555
7;m;24;Bowl;10;Bowl202105310610
7;m;24;Cockroach;10;Cockroach202105310606
7;m;24;Devil;10;Devil202105310535
7;m;24;Dragon;10;Dragon202105310548
7;m;24;Dynamite;10;Dynamite202105310616
7;m;24;Fire;10;Fire202105310524
7;m;24;Gun;10;Gun202105310531
7;m;24;Lightning;10;Lightning202105310551
7;m;24;Man;10;Man202105310600
7;m;24;Monkey;10;Monkey202105310557
7;m;24;Moon;10;Moon202105310608
7;m;24;Nuke;10;Nuke202105310614
7;m;24;Paper;10;Paper202105310513
7;m;24;Rock;10;Rock202105310505
7;m;24;Scissors;10;Scissors202105310518
7;m;24;Snake;10;Snake202105310542
7;m;24;Sponge;10;Sponge202105310521
7;m;24;Sun;10;Sun202105310553
7;m;24;Tree;10;Tree202105310544
7;m;24;Water;10;Water202105310522
7;m;24;Wolf;10;Wolf202105310534
7;m;24;Woman;10;Woman202105310530
8;f;39;Air;10;Air202106070211
8;f;39;Alien;10;Alien202106070234
8;f;39;Axe;10;Axe202106070225
8;f;39;Bowl;10;Bowl202106070233
8;f;39;Cockroach;10;Cockroach202106070230
8;f;39;Devil;10;Devil202106070216
8;f;39;Dragon;10;Dragon202106070221
8;f;39;Dynamite;10;Dynamite202106070237
8;f;39;Fire;10;Fire202106070209
8;f;39;Gun;10;Gun202106070213
8;f;39;Lightning;10;Lightning202106070222
8;f;39;Man;10;Man202106070229
8;f;39;Monkey;10;Monkey202106070228
8;f;39;Moon;10;Moon202106070232
8;f;39;Nuke;10;Nuke202106070236
8;f;39;Paper;10;Paper202106070202
8;f;39;Rock;10;Rock202106070200
8;f;39;Scissors;10;Scissors202106070204
8;f;39;Snake;10;Snake202106070218
8;f;39;Sponge;10;Sponge202106070206
8;f;39;Sun;10;Sun202106070224
8;f;39;Tree;10;Tree202106070220
8;f;39;Water;10;Water202106070208
8;f;39;Wolf;10;Wolf202106070215
8;f;39;Woman;10;Woman202106070212
9;m;40;Air;10;Air202106120856
9;m;40;Alien;10;Alien202106120942
9;m;40;Axe;10;Axe202106120925
9;m;40;Bowl;10;Bowl202106120933
9;m;40;Cockroach;10;Cockroach202106120930
9;m;40;Devil;10;Devil202106120908
9;m;40;Dragon;10;Dragon202106120914
9;m;40;Dynamite;10;Dynamite202106120936
9;m;40;Fire;10;Fire202106120855
9;m;40;Gun;10;Gun202106120906
9;m;40;Lightning;10;Lightning202106120915
9;m;40;Man;10;Man202106120928
9;m;40;Monkey;10;Monkey202106120927
9;m;40;Moon;10;Moon202106120932
9;m;40;Nuke;10;Nuke202106120935
9;m;40;Paper;10;Paper202106120843
9;m;40;Rock;10;Rock202106120840
9;m;40;Scissors;10;Scissors202106120849
9;m;40;Snake;10;Snake202106120911
9;m;40;Sponge;10;Sponge202106120851
9;m;40;Sun;10;Sun202106120917
9;m;40;Tree;10;Tree202106120938
9;m;40;Water;10;Water202106120854
9;m;40;Wolf;10;Wolf202106120940
9;m;40;Woman;10;Woman202106120857
