Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,990909090909091;0,9545454545454546;1,0;0,9363636363636364;0,9818181818181818;1,0;0,8727272727272727;0,990909090909091
2;0,9272727272727272;0,8545454545454545;0,8636363636363636;0,9363636363636364;1,0;0,9363636363636364;0,8272727272727273;0,9363636363636364
3;1,0;0,9545454545454546;0,990909090909091;0,9727272727272728;1,0;0,990909090909091;0,9636363636363636;1,0
4;0,9545454545454546;0,8090909090909091;0,9;0,9363636363636364;0,9818181818181818;0,8909090909090909;0,9272727272727272;0,9454545454545454
5;0,9818181818181818;0,8545454545454545;0,9818181818181818;0,9727272727272728;0,990909090909091;0,990909090909091;0,8727272727272727;1,0
6;0,990909090909091;0,7909090909090909;0,9818181818181818;0,9727272727272728;0,9727272727272728;0,990909090909091;0,9272727272727272;1,0
7;0,9363636363636364;0,8636363636363636;0,8727272727272727;0,9181818181818182;0,9181818181818182;0,9181818181818182;0,9272727272727272;0,9090909090909091
8;1,0;0,9454545454545454;0,8909090909090909;1,0;0,990909090909091;0,990909090909091;0,8272727272727273;0,990909090909091
9;1,0;0,9181818181818182;1,0;1,0;1,0;1,0;1,0;1,0
Mean;0,9757575757575757;0,8828282828282829;0,9424242424242425;0,9606060606060607;0,9818181818181818;0,9676767676767677;0,905050505050505;0,9747474747474748
Std.Dev.;0,0007346189164370983;0,0034792368125701485;0,0030670339761248865;0,0007897153351698802;0,0005876951331496783;0,0015080093867972666;0,003124171002958882;0,0010794816855422924
Min;0,9272727272727272;0,7909090909090909;0,8636363636363636;0,9181818181818182;0,9181818181818182;0,8909090909090909;0,8272727272727273;0,9090909090909091
Max;1,0;0,9545454545454546;1,0;1,0;1,0;1,0;1,0;1,0
