Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,8936372269705603;0,7242954184130654;0,8476190476190476;0,9254476517634412;0,8330728644894143;0,8427350427350427;0,7862155388471178;0,8279106858054226
2;0,7515425685425686;0,7190205100720741;0,7233880210891706;0,7045651878985212;0,9795600111389585;0,736457694352431;0,76423983294548;0,8568486800370859
3;1,0;0,6712979773849339;0,9449381028328396;0,9428701309708174;1,0;0,9389742103738047;0,748373195432019;1,0
4;0,9001480975165186;0,7243802331521629;0,862307283359915;0,8020357217153555;0,8571326142735484;0,9021803027247673;0,83777833602395;0,8772031087820561
5;1,0;0,8630130312994764;1,0;1,0;0,9247648902821317;1,0;0,9111111111111112;0,9865319865319865
6;0,9044277360066834;0,7324190115682914;0,9035886818495513;0,9365079365079365;0,9293388348560763;0,9247648902821317;0,8092690058479531;0,9061686474250141
7;0,9027346143135617;0,8014540307483619;0,9577610693400167;0,917383923266276;0,8851155666945139;0,8690579461541349;0,8097841156664686;0,8898572434751714
8;0,9738437001594896;0,884936116515064;0,9664818612187033;0,9394660894660896;0,9493988868601871;0,9802840434419382;0,8736894586894586;0,979983291562239
9;0,9790000848824377;0,8499597677378736;0,9286195286195285;0,9310901138764917;0,9060784626002018;0,9271131210961605;0,8547477576889342;0,8899784815574289
Mean;0,9228148920435356;0,774530677432367;0,903855955103197;0,8999296394961033;0,9182735701327813;0,9023963612400456;0,8216898169169436;0,9127202361307116
Std.Dev.;0,005457381167119852;0,005220368032726488;0,006203338754607233;0,007159594418898814;0,0026460167130395577;0,0055831978211585385;0,002475785868189809;0,0033609815994413783
Min;0,7515425685425686;0,6712979773849339;0,7233880210891706;0,7045651878985212;0,8330728644894143;0,736457694352431;0,748373195432019;0,8279106858054226
Max;1,0;0,884936116515064;1,0;1,0;1,0;1,0;0,9111111111111112;1,0
