Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,7;0,9666666666666667;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;0,9052631578947369;0,9068181818181819;1,0;1,0;1,0;0,9333333333333332;1,0
4;1,0;1,0;1,0;1,0;0,9666666666666667;1,0;0,942857142857143;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;0,9818181818181819;1,0;1,0;1,0;1,0;0,9538461538461539;0,942857142857143
7;1,0;1,0;1,0;0,9818181818181819;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9666666666666667
9;1,0;1,0;1,0;0,9538461538461539;1,0;1,0;0,7;1,0
Mean;1,0;0,9541201488569909;0,9859427609427609;0,992851592851593;0,9962962962962963;1,0;0,9477818477818478;0,98994708994709
Std.Dev.;0,0;0,008929000121814697;0,0008906120690632469;0,00022231761159500018;0,00010973936899862822;0,0;0,008366589921331479;0,0003852075809747758
Min;1,0;0,7;0,9068181818181819;0,9538461538461539;0,9666666666666667;1,0;0,7;0,942857142857143
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
