Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,9777777777777777;1,0;1,0;0,9777777777777777;0,9888888888888889;1,0;0,8111111111111111;0,9888888888888889
2;0,9111111111111111;0,8555555555555555;0,8222222222222222;0,9;0,9333333333333333;0,9;0,8777777777777778;0,8666666666666667
3;1,0;0,8444444444444444;0,9444444444444444;1,0;1,0;0,9222222222222223;0,9222222222222223;0,9222222222222223
4;1,0;0,8555555555555555;0,8888888888888888;1,0;0,9666666666666667;1,0;0,8666666666666667;1,0
5;1,0;0,9555555555555556;0,8444444444444444;1,0;1,0;0,9888888888888889;0,7444444444444445;0,9222222222222223
6;0,9888888888888889;0,8555555555555555;0,9888888888888889;1,0;0,9777777777777777;1,0;0,9111111111111111;0,9777777777777777
7;0,9777777777777777;0,8555555555555555;0,9111111111111111;0,9444444444444444;0,9666666666666667;0,9333333333333333;0,9666666666666667;0,9666666666666667
8;1,0;0,9;0,9888888888888889;1,0;1,0;1,0;0,9222222222222223;1,0
9;1,0;0,8888888888888888;0,9777777777777777;1,0;1,0;0,9888888888888889;1,0;1,0
Mean;0,9839506172839507;0,8901234567901235;0,9296296296296297;0,980246913580247;0,9814814814814815;0,9703703703703704;0,891358024691358;0,9604938271604938
Std.Dev.;0,0007437890565462585;0,002591068434689836;0,003923182441700961;0,0011187319006249047;0,00046639231824417;0,0014266117969821666;0,005398567291571407;0,0019509221155311676
Min;0,9111111111111111;0,8444444444444444;0,8222222222222222;0,9;0,9333333333333333;0,9;0,7444444444444445;0,8666666666666667
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
