Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,9818181818181819;1,0;0,9818181818181819;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;0,9818181818181819;0,9666666666666667;1,0;0,9538461538461539;1,0
3;1,0;0,9818181818181819;1,0;1,0;1,0;1,0;0,925;1,0
4;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9246753246753247;0,9428571428571427
5;0,9818181818181819;1,0;0,9818181818181819;0,9666666666666667;0,9636363636363637;0,9818181818181819;0,9484848484848486;0,9818181818181819
6;1,0;1,0;1,0;0,9666666666666667;1,0;1,0;1,0;1,0
7;0,6282051282051282;0,5666666666666668;0,8282051282051281;0,6282051282051282;0,8393939393939394;0,6306666666666667;0,8466666666666667;0,8393939393939394
8;0,9818181818181819;0,9272727272727272;0,9666666666666667;0,9818181818181819;1,0;0,9666666666666667;0,8471794871794871;0,9428571428571427
9;1,0;0,9818181818181819;0,9636363636363637;1,0;1,0;0,9818181818181819;1,0;0,9818181818181819
10;0,9818181818181819;0,9636363636363637;0,9818181818181819;0,9666666666666667;1,0;1,0;1,0;1,0
11;0,9818181818181819;0,9484848484848486;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819
12;1,0;1,0;1,0;1,0;1,0;0,9666666666666667;1,0;1,0
13;0,9666666666666667;0,9818181818181819;1,0;0,9818181818181819;0,9818181818181819;0,942857142857143;0,8687747035573122;0,9205128205128206
14;1,0;0,9818181818181819;1,0;1,0;1,0;1,0;0,9666666666666667;1,0
15;0,9303030303030303;0,9666666666666667;0,9666666666666667;0,9484848484848485;0,9818181818181819;0,9454545454545453;1,0;0,9666666666666667
16;1,0;0,9666666666666667;0,9666666666666667;1,0;1,0;1,0;1,0;1,0
17;0,9333333333333335;0,9818181818181819;0,9666666666666667;0,8704545454545455;0,9818181818181819;0,9666666666666667;1,0;0,9818181818181819
18;1,0;0,9636363636363637;0,9818181818181819;0,9538461538461539;0,9818181818181819;0,9484848484848486;0,925;0,9666666666666667
19;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
20;1,0;0,9538461538461539;1,0;1,0;1,0;1,0;1,0;1,0
21;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
22;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819
23;1,0;0,9818181818181819;1,0;1,0;1,0;1,0;0,9666666666666667;1,0
24;0,925;0,9176470588235294;1,0;0,925;0,9818181818181819;1,0;0,9818181818181819;0,9538461538461539
25;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9818181818181819
26;1,0;1,0;1,0;0,9333333333333332;1,0;1,0;1,0;1,0
27;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
28;0,9666666666666667;0,9818181818181819;0,9246753246753247;0,9484848484848485;0,9636363636363636;0,9618181818181819;0,8967032967032966;0,9356643356643357
29;1,0;0,9818181818181819;1,0;0,9538461538461539;1,0;1,0;1,0;1,0
30;1,0;0,9818181818181819;1,0;1,0;0,9618181818181819;1,0;0,8943181818181819;0,9538461538461539
Mean;0,9734040959040959;0,9639126886185708;0,9811710511710512;0,9631807081807082;0,9836911976911976;0,9733137085137086;0,9636478847239718;0,9771073371073371
Std.Dev.;0,0046359565396216235;0,00591109093483213;0,001174545414871756;0,00475210585531931;0,0009535980626716559;0,004443849827568615;0,0023733872851280464;0,0011842012084436332
Min;0,6282051282051282;0,5666666666666668;0,8282051282051281;0,6282051282051282;0,8393939393939394;0,6306666666666667;0,8466666666666667;0,8393939393939394
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
