Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,98;1,0;0,98;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;0,98;0,96;1,0;0,94;1,0
3;1,0;0,98;1,0;1,0;1,0;1,0;0,88;1,0
4;0,92;0,92;0,92;0,92;0,92;0,92;0,9;0,92
5;0,98;1,0;0,98;0,96;0,96;0,98;0,94;0,98
6;1,0;1,0;1,0;0,96;1,0;1,0;1,0;1,0
7;0,6;0,58;0,6;0,6;0,68;0,62;0,72;0,68
8;0,98;0,92;0,96;0,98;1,0;0,96;0,78;0,92
9;1,0;0,98;0,96;1,0;1,0;0,98;1,0;0,98
10;0,98;0,96;0,98;0,96;1,0;1,0;1,0;1,0
11;0,98;0,94;0,98;0,98;0,98;0,98;0,98;0,98
12;1,0;1,0;1,0;1,0;1,0;0,96;1,0;1,0
13;0,96;0,98;1,0;0,98;0,98;0,92;0,72;0,9
14;1,0;0,98;1,0;1,0;1,0;1,0;0,96;1,0
15;0,92;0,96;0,96;0,94;0,98;0,94;1,0;0,96
16;1,0;0,96;0,96;1,0;1,0;1,0;1,0;1,0
17;0,92;0,98;0,96;0,82;0,98;0,96;1,0;0,98
18;1,0;0,96;0,98;0,94;0,98;0,94;0,88;0,96
19;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
20;1,0;0,94;1,0;1,0;1,0;1,0;1,0;1,0
21;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
22;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98
23;1,0;0,98;1,0;1,0;1,0;1,0;0,96;1,0
24;0,88;0,86;1,0;0,88;0,98;1,0;0,98;0,94
25;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,98
26;1,0;1,0;1,0;0,9;1,0;1,0;1,0;1,0
27;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
28;0,96;0,98;0,9;0,94;0,96;0,96;0,86;0,92
29;1,0;0,98;1,0;0,94;1,0;1,0;1,0;1,0
30;1,0;0,98;1,0;1,0;0,96;1,0;0,84;0,94
Mean;0,9686666666666668;0,9593333333333333;0,9706666666666667;0,9546666666666667;0,9766666666666668;0,97;0,9439999999999998;0,9673333333333335
Std.Dev.;0,005644888888888889;0,0059062222222222216;0,005352888888888889;0,006104888888888891;0,0033888888888888883;0,0048466666666666675;0,006890666666666669;0,003746222222222221
Min;0,6;0,58;0,6;0,6;0,68;0,62;0,72;0,68
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
