Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;4,801034927368164;0,05602836608886719;0,6358623504638672;1,1470317840576172;0,07796287536621094;0,11205673217773438;0,05078315734863281;0,1220703125
2;4,914760589599609;0,04673004150390625;15,124320983886719;0,8819103240966797;0,06794929504394531;0,10085105895996094;0,04696846008300781;0,6122589111328125
3;5,309104919433594;0,03981590270996094;3,731966018676758;0,9229183197021484;0,08606910705566406;0,1010894775390625;0,050067901611328125;2,3927688598632812
4;2,2029876708984375;0,03981590270996094;1,9309520721435547;1,157999038696289;0,06508827209472656;0,1010894775390625;0,05125999450683594;0,1857280731201172
5;4,937171936035156;0,04601478576660156;14,396905899047852;1,0612010955810547;0,06389617919921875;0,11205673217773438;0,04696846008300781;0,10323524475097656
6;4,940986633300781;0,04315376281738281;14,113903045654297;1,0538101196289062;0,055789947509765625;0,10204315185546875;0,04506111145019531;1,9099712371826172
7;2,087116241455078;0,07867813110351562;3,8182735443115234;1,2347698211669922;0,09298324584960938;0,13017654418945312;0,04887580871582031;1,1670589447021484
8;4,908084869384766;0,04315376281738281;1,0581016540527344;1,3408660888671875;0,06127357482910156;0,11706352233886719;0,0457763671875;1,898050308227539
9;4,873037338256836;0,03790855407714844;1,0428428649902344;0,8568763732910156;0,04315376281738281;0,10180473327636719;0,04696846008300781;0,293731689453125
10;4,960060119628906;0,051975250244140625;3,5867691040039062;1,0991096496582031;0,06508827209472656;0,12683868408203125;0,0457763671875;0,17786026000976562
11;4,914045333862305;0,04482269287109375;7,116079330444336;1,0328292846679688;0,057697296142578125;0,09703636169433594;0,08916854858398438;0,26917457580566406
12;4,951715469360352;0,04696846008300781;3,5479068756103516;0,8978843688964844;0,07486343383789062;0,10180473327636719;0,04410743713378906;0,18596649169921875
13;4,940032958984375;0,052928924560546875;0,4131793975830078;1,0590553283691406;0,06604194641113281;0,13017654418945312;0,0457763671875;0,6914138793945312
14;4,962682723999023;0,03790855407714844;1,9249916076660156;0,8556842803955078;0,06723403930664062;0,1010894775390625;0,04601478576660156;0,14901161193847656
15;3,0078887939453125;0,0400543212890625;1,9869804382324219;1,28173828125;0,05507469177246094;0,10800361633300781;0,04506111145019531;0,9601116180419922
16;5,085945129394531;0,05507469177246094;7,0629119873046875;0,9119510650634766;0,0591278076171875;0,12683868408203125;0,041961669921875;1,722097396850586
17;4,946231842041016;0,03790855407714844;28,795957565307617;1,0716915130615234;0,2219676971435547;0,10180473327636719;0,04220008850097656;0,12612342834472656
18;4,979848861694336;0,048160552978515625;1,1260509490966797;1,1398792266845703;0,06008148193359375;0,11014938354492188;0,04291534423828125;0,17690658569335938
19;5,110979080200195;0,05507469177246094;3,5288333892822266;0,8182525634765625;0,07510185241699219;0,13899803161621094;0,04506111145019531;0,10991096496582031
20;5,024909973144531;0,03981590270996094;14,43934440612793;1,0480880737304688;0,06818771362304688;0,09918212890625;0,04410743713378906;0,2741813659667969
21;5,019903182983398;0,05984306335449219;14,185905456542969;0,8091926574707031;0,06818771362304688;0,10800361633300781;0,04506111145019531;0,19097328186035156
22;5,396127700805664;0,06508827209472656;3,715038299560547;0,9467601776123047;0,08320808410644531;0,12636184692382812;0,049114227294921875;0,10704994201660156
23;2,2547245025634766;0,042438507080078125;0,39196014404296875;1,1279582977294922;0,041961669921875;0,10395050048828125;0,05078315734863281;10,317087173461914
24;7,697820663452148;0,07009506225585938;1,5277862548828125;3,0400753021240234;0,09179115295410156;0,1380443572998047;0,12326240539550781;19,387006759643555
25;11,842012405395508;0,10991096496582031;4,549980163574219;2,6721954345703125;0,2658367156982422;0,2167224884033203;0,125885009765625;0,2701282501220703
26;13,309955596923828;0,0667572021484375;3,9587020874023438;2,621889114379883;0,08702278137207031;0,13899803161621094;0,1289844512939453;0,102996826171875
27;9,555816650390625;0,080108642578125;0,9038448333740234;2,8929710388183594;0,11110305786132812;0,18310546875;0,15401840209960938;0,4172325134277344
28;12,033700942993164;0,07224082946777344;28,102874755859375;2,889871597290039;0,09393692016601562;0,1621246337890625;0,11610984802246094;2,3620128631591797
29;7,796049118041992;0,06175041198730469;14,796018600463867;3,034830093383789;0,1277923583984375;0,1518726348876953;0,12302398681640625;1,538991928100586
30;10,220766067504883;0,07128715515136719;14,243841171264648;3,116130828857422;0,102996826171875;0,18978118896484375;0,12326240539550781;2,6781558990478516
Mean;5,899516741434733;0,054717063903808594;7,191936175028483;1,4675140380859375;0,0852823257446289;0,12463728586832683;0,06681283315022786;1,696642239888509
Std.Dev.;7,745345751130926;0,00026372219963377574;58,99566399073642;0,6439474433742968;0,0021821587855204902;0,0008744627974819094;0,00122510711106669;14,362871785288513
Min;2,087116241455078;0,03790855407714844;0,39196014404296875;0,8091926574707031;0,041961669921875;0,09703636169433594;0,041961669921875;0,102996826171875
Max;13,309955596923828;0,10991096496582031;28,795957565307617;3,116130828857422;0,2658367156982422;0,2167224884033203;0,15401840209960938;19,387006759643555
