Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,9595959595959596;0,9799498746867168;0,9799498746867168;0,9395458342826766;0,9799498746867168;0,9370002546473134;0,9799498746867168;0,9587301587301588
2;1,0;1,0;1,0;0,9595959595959596;1,0;0,9799498746867168;1,0;1,0
3;0,9799498746867168;1,0;1,0;0,8933333333333333;1,0;1,0;0,8966165413533835;1,0
4;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168
5;0,9599498746867168;0,9799498746867168;0,9799498746867168;0,8563492063492063;0,9799498746867168;0,9178159301998311;1,0;1,0
6;1,0;0,9386189258312021;0,9799498746867168;1,0;1,0;1,0;1,0;1,0
7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;0,9595959595959596;1,0;1,0;0,9799498746867168;0,9799498746867168;1,0;0,8056582633053222;0,9595959595959596
9;1,0;0,8328874024526199;1,0;1,0;1,0;0,9799498746867168;1,0;1,0
10;0,9799498746867168;0,9799498746867168;1,0;0,9799498746867168;1,0;1,0;1,0;1,0
11;1,0;0,9396825396825398;0,9799498746867168;1,0;1,0;0,9799498746867168;1,0;0,9799498746867168
12;1,0;1,0;0,9799498746867168;0,9143892339544515;1,0;1,0;0,9386189258312021;1,0
13;0,9386189258312021;0,9396825396825398;0,9595959595959596;1,0;1,0;0,9595959595959596;0,8777777777777778;1,0
14;1,0;0,9587301587301589;1,0;0,9595959595959596;1,0;1,0;0,9799498746867168;1,0
15;1,0;0,9398997493734336;1,0;1,0;1,0;1,0;0,6867521367521366;1,0
16;0,9799498746867168;0,9599498746867168;0,9799498746867168;0,9595959595959596;0,9799498746867168;0,9395458342826766;0,8647619047619048;0,9598997493734336
17;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
18;0,9166666666666665;0,9189422832443428;1,0;0,8681318681318682;1,0;0,9386189258312021;0,8627705627705627;0,9166666666666665
19;0,8996265172735761;0,9208462332301341;0,9208462332301341;0,9208462332301341;0,9208462332301341;0,8996265172735761;0,8378942881500425;0,9
20;1,0;0,9587301587301588;1,0;1,0;1,0;1,0;1,0;1,0
21;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
22;1,0;1,0;0,9799498746867168;1,0;1,0;1,0;1,0;1,0
23;0,9799498746867168;1,0;0,9799498746867168;1,0;1,0;1,0;0,9595959595959596;0,9799498746867168
24;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,96;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168
25;0,9799498746867168;1,0;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9799498746867168;0,9370002546473134;0,9799498746867168
26;0,9598997493734336;0,9799498746867168;0,8966165413533834;0,9395458342826762;0,9395458342826762;0,9598997493734336;0,9185688005179189;0,9395458342826762
27;0,9799498746867168;0,9595959595959596;1,0;0,9799498746867168;0,9799498746867168;1,0;1,0;1,0
28;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
29;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Mean;0,9804673327764569;0,9705953473572451;0,9847071501977022;0,9679544412339934;0,9896548643105705;0,9804069799766997;0,9484763763520823;0,9839375083476717
Std.Dev.;0,0006695091368475756;0,001358583806208807;0,000559509006042575;0,0016908050574053392;0,00034594662091428675;0,0007841456156252497;0,005708317214768516;0,0006920965206132474
Min;0,8996265172735761;0,8328874024526199;0,8966165413533834;0,8563492063492063;0,9208462332301341;0,8996265172735761;0,6867521367521366;0,9
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
