Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,9666666666666667;0,9818181818181819;0,9818181818181819;0,9484848484848485;0,9818181818181819;0,9484848484848485;0,9818181818181819;0,9636363636363637
2;1,0;1,0;1,0;0,9666666666666667;1,0;0,9818181818181819;1,0;1,0
3;0,9818181818181819;1,0;1,0;0,9333333333333332;1,0;1,0;0,9246753246753247;1,0
4;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819
5;0,9618181818181819;0,9818181818181819;0,9818181818181819;0,8883116883116883;0,9818181818181819;0,9333333333333335;1,0;1,0
6;1,0;0,9538461538461539;0,9818181818181819;1,0;1,0;1,0;1,0;1,0
7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;0,9666666666666667;1,0;1,0;0,9818181818181819;0,9818181818181819;1,0;0,8761904761904762;0,9666666666666667
9;1,0;0,8967032967032966;1,0;1,0;1,0;0,9818181818181819;1,0;1,0
10;0,9818181818181819;0,9818181818181819;1,0;0,9818181818181819;1,0;1,0;1,0;1,0
11;1,0;0,9454545454545453;0,9818181818181819;1,0;1,0;0,9818181818181819;1,0;0,9818181818181819
12;1,0;1,0;0,9818181818181819;0,9356643356643357;1,0;1,0;0,9538461538461539;1,0
13;0,9538461538461539;0,9454545454545454;0,9666666666666667;1,0;1,0;0,9666666666666667;0,8928571428571428;1,0
14;1,0;0,9636363636363637;1,0;0,9666666666666667;1,0;1,0;0,9818181818181819;1,0
15;1,0;0,9436363636363637;1,0;1,0;1,0;1,0;0,8769230769230769;1,0
16;0,9818181818181819;0,9618181818181819;0,9818181818181819;0,9666666666666667;0,9818181818181819;0,9484848484848486;0,915151515151515;0,9636363636363636
17;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
18;0,942857142857143;0,9288461538461539;1,0;0,925;1,0;0,9538461538461539;0,9095238095238096;0,942857142857143
19;0,9246753246753247;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9428571428571427;0,9246753246753247;0,8813186813186813;0,9178571428571428
20;1,0;0,9636363636363636;1,0;1,0;1,0;1,0;1,0;1,0
21;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
22;1,0;1,0;0,9818181818181819;1,0;1,0;1,0;1,0;1,0
23;0,9818181818181819;1,0;0,9818181818181819;1,0;1,0;1,0;0,9666666666666667;0,9818181818181819
24;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,96;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819
25;0,9818181818181819;1,0;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9818181818181819;0,9484848484848486;0,9818181818181819
26;0,9636363636363636;0,9818181818181819;0,9246753246753247;0,9484848484848485;0,9484848484848485;0,9636363636363636;0,9356643356643357;0,9484848484848485
27;0,9818181818181819;0,9666666666666667;1,0;0,9818181818181819;0,9818181818181819;1,0;1,0;1,0
28;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
29;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Mean;0,9839555846452398;0,9759815471884437;0,9873861770413493;0,9755595553871416;0,9912374981340498;0,9837943665529874;0,9658129227094745;0,9866286012837737
Std.Dev.;0,0003879665966364042;0,0007145931184459845;0,000312842766322699;0,000845490694945284;0,00021852011474754948;0,0004950652576273084;0,0018814878419958247;0,0004444883760247345
Min;0,9246753246753247;0,8967032967032966;0,9246753246753247;0,8883116883116883;0,9428571428571427;0,9246753246753247;0,8761904761904762;0,9178571428571428
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
